method_id,scale,training_seed,evaluation_episodes,makespan,completion_rate,deadline_completion_rate,mission_success,deadline_remaining_tasks,throughput,invalid_actions,communication_events,heartbeat_messages,reallocated_tasks,reallocation_successes,reallocation_success_rate,return
ppo_event,3x16,2,100,18.922573933049225,0.9391830065359477,0.7272549019607844,0.01,4.51,0.9253846153846155,0.2,19.76,25.48,0.26,0.1,0.38461538461538464,-6.521541328032802
ppo_event,3x16,3,100,19.65058113667765,0.9386274509803921,0.7143709150326798,0.01,4.72,0.9092307692307693,0.19,19.91,26.24,0.28,0.12,0.42857142857142855,-7.249548531661227
ppo_event,3x16,4,100,18.766931779748376,0.9417851307189542,0.7357393790849673,0.02,4.37,0.936153846153846,0.17,19.73,25.4,0.25,0.12,0.48,-6.365899174731952
ppo_event,3x16,5,100,18.60074189263107,0.9429656862745098,0.7483946078431373,0.02,4.16,0.9523076923076923,0.17,19.73,25.36,0.28,0.11,0.39285714285714285,-6.199709287614647
ppo_event,3x20,1,100,23.059298454350646,0.9377708450969321,0.8158778467908903,0.08,3.83,0.9383333333333335,0.41,23.97,28.18,0.28,0.15,0.5357142857142857,-10.372854777517468
ppo_event,3x20,2,100,23.773753379805818,0.9299486166007904,0.7849934123847165,0.04,4.47,0.9022222222222223,0.67,24.05,28.71,0.31,0.13,0.41935483870967744,-11.087309702972641
ppo_event,3x20,3,100,23.74770729908199,0.9313793525315264,0.791418501788067,0.07,4.34,0.9094444444444446,0.57,23.97,28.92,0.31,0.14,0.45161290322580644,-11.061263622248806
ppo_event,3x20,4,100,23.321384194492538,0.9361301524562394,0.8063738001129305,0.07,4.02,0.9272222222222224,0.47,23.99,28.54,0.3,0.13,0.43333333333333335,-10.634940517659356
ppo_event,3x20,5,100,23.337108592176833,0.9381559382646338,0.8088671183888573,0.06,3.97,0.9305555555555556,0.54,24.16,28.68,0.31,0.12,0.3870967741935484,-10.65066491534365
ppo_event,4x24,1,100,22.12635004587948,0.9720833333333334,0.8066666666666668,0.05,4.64,1.21,0.21,27.93,47.53,0.19,0.11,0.5789473684210527,-9.31198739719584
ppo_event,4x24,2,100,22.075070539035018,0.9708333333333333,0.8095833333333333,0.01,4.57,1.214375,0.37,27.88,47.77,0.2,0.12,0.6,-9.260707890351377
ppo_event,4x24,3,100,21.93032760470147,0.9704166666666666,0.805,0.02,4.68,1.2075,0.3,27.83,47.46,0.19,0.12,0.631578947368421,-9.115964956017816
ppo_event,4x24,4,100,21.757619364684707,0.9720833333333333,0.8145833333333331,0.04,4.45,1.221875,0.31,27.77,47.13,0.21,0.12,0.5714285714285714,-8.943256716001061
ppo_event,4x24,5,100,21.742062335778236,0.9729166666666668,0.8191666666666667,0.03,4.34,1.22875,0.34,27.84,47.38,0.19,0.11,0.5789473684210527,-8.927699687094593
